asset,type,classification,source,derivation,usage_location,alt_text,notes
"Oslo Walnut Kitchen (attachment 135)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery; homepage hero (LCP image)","OSLO Classic Walnut Slim Shaker kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo Walnut Kitchen 2 (attachment 136)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery + featured image","OSLO Classic Walnut Slim Shaker kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo Walnut Bathroom (attachment 137)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery; Bathroom Cabinets & Vanities page 'Two Ways to Build Your Bathroom' in-stock card (RC4B, page ID 11)","OSLO Classic Walnut Slim Shaker bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo Walnut Bar (attachment 138)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery","OSLO Classic Walnut Slim Shaker cabinetry in a home bar","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"White Oak Floating Shelves (attachment 139)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Homepage Custom Spaces section; homepage two-path ""Custom Cabinetry"" card","White oak floating shelves in a kitchen","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Maple Floating Shelves (attachment 140)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Homepage Custom Spaces section","Maple floating shelves in a kitchen","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Walnut Floating Shelves (attachment 141)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Homepage Custom Spaces section","Walnut floating shelves in a kitchen","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Euro Flat Panel Kitchen (attachment 153)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC3B_IMAGES.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Homepage ""Popular Styles, Ready to Move"" -- Euro / Flat Panel collection card featured image","Modern Euro flat panel kitchen cabinetry in warm white and walnut","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only, per README.txt included in the source package."
"Custom Closet (attachment 154)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC3B_IMAGES.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Homepage ""Built for Spaces That Need an Individual Solution"" -- Custom Closets card; Custom Spaces hub hero and ""Custom Closets"" card; Closets page hero (RC4C, page IDs 17/68). No longer used in the Closets page ""Planned Around the Room, Not a Kit"" section as of RC4C-POLISH -- superseded there by attachment 162 to avoid repeating the same photo twice on one page.","Custom walk-in closet with built-in wood storage and illuminated shelving","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only, per README.txt included in the source package."
"Laundry Pantry Cabinetry (attachment 155)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC3B_IMAGES.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Homepage ""Built for Spaces That Need an Individual Solution"" -- Laundry & Pantry card; Custom Spaces hub ""Laundry & Pantry"" card; Laundry & Pantry page hero and ""Make the Laundry Room Work Harder"" section (RC4C, page ID 19). No longer used in the ""Pantry Storage That Uses the Space Better"" section as of RC4C-POLISH -- superseded there by attachment 163, a pantry-specific generated image, since this image reads primarily as a laundry room.","Custom laundry and pantry cabinetry with storage, worktop, washer and dryer","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only, per README.txt included in the source package."
"Quartz Countertop Kitchen (attachment 156)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC3B_IMAGES.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Homepage ""Countertop Materials"" -- Quartz card","Modern kitchen with light quartz countertop and waterfall island","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only, per README.txt included in the source package."
"Granite Countertop Kitchen (attachment 157)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC3B_IMAGES.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Homepage ""Countertop Materials"" -- Granite card","Kitchen with natural granite countertop featuring gray beige and dark mineral pattern","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only, per README.txt included in the source package."
"Porcelain Countertop Kitchen (attachment 158)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC3B_IMAGES.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Homepage ""Countertop Materials"" -- Porcelain card","Modern kitchen with large-format porcelain countertop and matching slab backsplash","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only, per README.txt included in the source package."
"Marble Countertop Kitchen (attachment 159)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC3B_IMAGES.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Homepage ""Countertop Materials"" -- Marble card (no longer used on the Bathroom Cabinets & Vanities page as of RC4B-POLISH -- superseded there by attachment 161, a bathroom-context image)","Luxury kitchen with natural marble waterfall island and expressive veining","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only, per README.txt included in the source package."
"Euro Flat Panel Bathroom Vanity (attachment 160)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC4B_BATHROOM_MEDIA.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~94% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Bathroom Cabinets & Vanities page (RC4B-POLISH, page ID 11) -- 'Explore Cabinet Styles for Your Bathroom' Euro / Flat Panel card (page-specific override; does not change the Euro / Flat Panel collection's own global featured image)","Modern flat-panel white bathroom vanity with floating cabinetry and walk-in glass shower","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Category/style presentation only."
"Bathroom Vanity Countertop (attachment 161)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_RC4B_BATHROOM_MEDIA.zip (Downloads folder) -- AI-generated category/lifestyle visuals commissioned for this rebuild, not sourced from any manufacturer or third party","Visually inspected before import (no text overlays, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~94% size reduction) at unchanged resolution (no upscale); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Bathroom Cabinets & Vanities page (RC4B-POLISH, page ID 11) -- 'Vanity Tops & Cabinetry, Coordinated Together' countertop cross-sell image (replaced attachment 159, a kitchen-context image)","Bathroom vanity with light stone countertop and undermount sink","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, or any context implying ZEUS physically completed this exact room. Exact stone type not confirmed from the generated visual, so no specific material claim is made in on-page copy. Category/style presentation only."
"Custom Walk-In Closet Design (attachment 162)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Newest matching PNG located in the owner's Downloads folder (ChatGPT Image Aug 26, 2026, 03_46_02 PM.png) -- AI-generated category/lifestyle visual, not sourced from any manufacturer or third party","Visually inspected before import (no text, logos, watermarks, or manufacturer branding found); re-encoded PNG to WebP via PHP GD (strips metadata, ~91% size reduction) at unchanged resolution (no upscale); saved under the neutral public filename zeus-custom-walk-in-closet-design.webp; imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Closets page (RC4C-POLISH, page ID 68) -- 'Planned Around the Room, Not a Kit' design-approach image (added specifically because attachment 154 was being reused there and in the hero on the same page)","Custom walk-in closet with built-in cabinetry, island and integrated storage","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, completed-project, or client-project context. Category/style presentation only."
"Custom Pantry Cabinetry (attachment 163)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Newest matching PNG located in the owner's Downloads folder (ChatGPT Image Aug 26, 2026, 04_18_54 PM.png) -- AI-generated category/lifestyle visual, not sourced from any manufacturer or third party","Visually inspected before import (no text, logos, watermarks, or manufacturer branding found; stand mixer and beverage-fridge appliances checked closely, no visible brand markings); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); saved under the neutral public filename zeus-custom-pantry-cabinetry.webp; imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Laundry & Pantry page (RC4C-POLISH, page ID 19) -- 'Pantry Storage That Uses the Space Better' section (added because attachment 155 reads primarily as a laundry room and was being reused for both the Laundry and Pantry sections on the same page)","Custom pantry cabinetry with open shelving, drawers and organized storage","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, completed-project, client-project, or attributed Orlando-installation context. Category/style presentation only."
"Home Office Euro Flat Panel (attachment 164)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_HOME_OFFICE_STYLES.zip (Downloads folder) -- AI-generated category/lifestyle visual, not sourced from any manufacturer or third party","Visually inspected before import (no text, logos, watermarks, or manufacturer branding found; laptop closely checked, no visible brand markings); re-encoded PNG to WebP via PHP GD (strips metadata, ~90% size reduction) at unchanged resolution (no upscale); saved under the neutral public filename zeus-home-office-euro-flat-panel-light.webp; imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Home Office page (RC4C-POLISH, page ID 20) -- 'Home Office Styles We Design' -- 'Euro / Flat Panel' card","Modern home office with light Euro flat-panel built-in cabinetry","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, completed-project, client-project, or attributed Orlando-installation context. Style-range presentation only -- not labeled as a specific ZEUS project."
"Modern Two-Person Home Office (attachment 165)","photo","GENERATED CATEGORY/LIFESTYLE VISUAL -- not a completed ZEUS project","Owner-supplied ZEUS_HOME_OFFICE_STYLES.zip (Downloads folder) -- AI-generated category/lifestyle visual, not sourced from any manufacturer or third party","Visually inspected before import (no text, logos, watermarks, or manufacturer branding found; monitors closely checked, no visible brand markings); re-encoded PNG to WebP via PHP GD (strips metadata, ~93% size reduction) at unchanged resolution (no upscale); saved under the neutral public filename zeus-home-office-modern-two-person.webp; imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time; zeus_media_provenance=generated_category_lifestyle postmeta flag set for internal auditing","Home Office page (RC4C-POLISH, page ID 20) -- 'Home Office Styles We Design' -- 'Modern Two-Person Built-In' card","Two-person home office with warm wood and dark flat-panel built-in cabinetry","NOT a real ZEUS installation -- must never appear in Real ZEUS Installations, Portfolio, before/after, completed-project, client-project, or attributed Orlando-installation context. Style-range presentation only -- not labeled as a specific ZEUS project."
